Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
0,0.262,0.001,4.1301,7.6439,23.9383,0.0005
1,0.259,0.001,3.38459,17.8253,45.2868,0.0005
2,0.259,0.002,2.78262,29.8312,61.3086,0.0005
3,0.259,0.002,1.82199,51.8507,80.2454,5e-05
4,0.259,0.001,1.53822,58.488,85.163,5e-05
5,0.259,0.002,1.3405,63.6888,88.2143,5e-06
6,0.259,0.001,1.31067,64.5381,88.5289,5e-06
7,0.259,0.001,1.28251,65.1882,89.0427,5.000000000000001e-07
8,0.259,0.002,1.28469,65.1672,88.7176,5.000000000000001e-07
9,0.259,0.001,1.28025,65.8803,88.9588,5.000000000000001e-08
10,0.259,0.001,1.26883,65.5657,89.1056,5.000000000000001e-08
11,0.259,0.001,1.28594,65.314,89.1475,5.000000000000002e-09
12,0.259,0.001,1.29104,64.6744,88.5918,5.000000000000002e-09
13,0.259,0.002,1.27401,65.3036,88.6442,5.000000000000002e-09
14,0.259,0.001,1.28963,65.2931,88.9798,5.000000000000002e-09
15,0.259,0.001,1.26765,65.5133,89.2,5.000000000000002e-09
16,0.259,0.001,1.28015,65.3036,88.791,5.000000000000002e-09
17,0.259,0.001,1.26834,65.5238,88.8854,5.000000000000002e-09
18,0.259,0.001,1.27869,65.1253,89.1161,5.000000000000002e-09
19,0.259,0.001,1.28622,65.4189,88.812,5.000000000000002e-09
20,0.259,0.001,1.2747,65.0938,89.2419,5.000000000000002e-09
21,0.259,0.001,1.27982,65.9117,89.0322,5.000000000000002e-09
22,0.259,0.001,1.27877,65.4399,88.8749,5.000000000000002e-09
23,0.258,0.001,1.27622,65.0834,89.1161,5.000000000000002e-09
23,0.26,0.001,2.07716,50.3651,75.9649,5.000000000000002e-09
24,0.259,0.001,2.06254,51.231,75.9441,5.000000000000002e-09
25,0.259,0.002,2.07628,50.8137,75.9858,5.000000000000002e-09
26,0.259,0.001,2.05847,51.231,75.9232,5.000000000000002e-09
26,0.26,0.001,2.04014,51.6209,76.2677,5.000000000000002e-09
27,0.26,0.001,2.04927,51.1014,75.852,5.000000000000002e-09
28,0.259,0.001,2.03247,51.1534,76.4755,5.000000000000002e-09
27,0.261,0.001,4.39724,17.7785,40.0457,5.000000000000002e-09
27,0.26,0.001,4.38244,17.3732,39.5158,5.000000000000002e-09
28,0.26,0.001,4.38063,17.4044,39.2872,5.000000000000002e-09
29,0.259,0.001,4.36571,17.8408,39.8691,5.000000000000002e-09
30,0.259,0.001,4.38416,17.9863,39.4119,5.000000000000002e-09
31,0.259,0.002,4.37751,18.0278,39.6924,5.000000000000002e-09
32,0.259,0.001,4.34216,17.7369,40.3367,5.000000000000002e-09
33,0.259,0.001,4.34725,17.6642,39.6924,5.000000000000002e-09
34,0.259,0.001,4.34981,18.0071,39.8067,5.000000000000002e-09
35,0.259,0.001,4.34462,17.5914,39.8067,5.000000000000002e-09
36,0.259,0.002,4.34363,17.5603,39.8171,5.000000000000002e-09
37,0.259,0.001,4.32374,17.9032,39.8899,5.000000000000002e-09
38,0.259,0.002,4.29266,18.0798,40.7315,5.000000000000002e-09
39,0.259,0.001,4.30465,18.2772,40.4302,5.000000000000002e-09
40,0.259,0.001,4.28935,18.059,40.6484,5.000000000000002e-09
41,0.259,0.001,4.28171,18.1006,40.6796,5.000000000000002e-09
42,0.259,0.001,4.2795,18.3292,40.6484,5.000000000000002e-09
43,0.259,0.001,4.28361,18.4331,40.7107,5.000000000000002e-09
44,0.259,0.001,4.28916,18.35,40.6796,5.000000000000002e-09
45,0.259,0.001,4.27512,18.3707,40.6692,5.000000000000002e-09
46,0.259,0.001,4.25572,18.4643,40.9809,5.000000000000002e-09
47,0.259,0.001,4.2612,18.5058,40.7938,5.000000000000002e-09
48,0.259,0.001,4.24341,17.82,40.7627,5.000000000000002e-09
49,0.259,0.001,4.22701,18.2253,41.1367,5.000000000000002e-09
50,0.259,0.001,4.23967,18.5889,40.7211,5.000000000000002e-09
51,0.259,0.001,4.206,18.3396,41.4381,5.000000000000002e-09
52,0.259,0.001,4.24429,17.9343,40.4821,5.000000000000002e-09
53,0.259,0.001,4.22675,18.537,41.2926,5.000000000000002e-09
54,0.259,0.001,4.22312,18.5474,41.3238,5.000000000000002e-09
